taxid,CDS,CDS-length,exon,exon-length,gene,gene-length,mRNA,mRNA-length
426428,73946,483.6031564,81522,682.2898359,21354,1851.228248,27347,2185.190844
431241,27689,487.9175846,27873,508.6398665,9120,1795.595833,9117,1794.929143
435258,8305,1880.071644,8308,1863.332571,8372,1867.056498,8150,1897.43816
436907,5524,1469.091962,5818,1399.384496,5767,1497.133518,5367,1519.994597
44056,26325,687.7931624,26553,695.5471322,11522,2137.691286,11521,2137.330266
441375,5353,1293.422006,5397,1287.803409,3981,1780.189651,3934,1799.289527
441959,43638,437.5733764,44642,486.667264,12574,1803.133689,13252,1824.246453
441960,33631,478.0929797,34417,541.2698666,10138,1897.585618,10638,1915.207464
44415,39432,297.8584145,39432,297.8584145,8748,2420.640947,8748,2420.640947
452589,33111,489.2808432,33803,560.9265154,11810,1795.67663,11816,1796.001354
45286,4813,1387.406192,5280,1305.829924,4970,1394.925755,4528,1482.939488
460523,6124,1137.928641,6301,1599.491033,5251,1959.693963,5173,1988.299633
461836,20101,1035.509527,20473,1077.279295,10657,2237.259454,10626,2269.700358
481877,3632,719.0638767,3805,704.5808147,3806,704.6460851,3633,718.8863198
483514,10336,669.7054954,10880,896.3022059,5347,1901.151487,4986,2028.954071
484906,10201,547.0339182,10343,556.09417,3781,1635.139646,3671,1675.277581
486041,99161,203.2646202,100216,207.8318632,18264,1522.919459,18216,1520.605018
4909,7010,1087.043937,7010,1087.221826,5385,1501.925534,5385,1501.925534
4950,5175,1401.84657,5424,1343.151917,5176,1412.063949,4972,1463.591512
498019,7461,1073.790511,7564,1060.295082,8301,1030.275509,7461,1073.790511
498257,29485,508.1936239,29961,527.0895497,10811,1637.961613,10535,1677.290555
500485,40440,426.911276,68492,430.8604655,13911,1488.888721,13647,1514.77746
502779,26877,442.4832013,27004,442.2013405,8953,1563.648833,8826,1580.645253
502780,25785,452.7108784,25917,452.6997338,8522,1607.502582,8390,1625.705959
508771,47717,419.7362366,49003,606.7120993,8925,5566.620392,8292,5943.954896
510516,42504,430.1952287,43270,454.62422,12962,1733.468292,12818,1765.027851
510951,27881,522.3045802,28261,578.5593574,10380,1836.270424,10380,1836.270424
51315,36925,384.4527827,36925,384.4527827,8584,2707.512582,8609,2703.603903
515849,23986,654.661761,24573,642.6062345,11062,1524.795607,10587,1588.881742
526221,28738,467.8186721,29090,478.087659,10488,1543.226926,10237,1578.70255
535722,28088,455.6685773,28209,455.4506718,9029,1603.072212,8921,1619.254568
54757,13009,770.3014836,13064,769.5385793,5009,2260.611499,4954,2279.172184
554155,28751,445.2993983,28838,445.3948609,8847,1644.868995,8765,1659.4332
556484,18502,785.346449,18767,846.8315128,10398,1634.606944,10411,1635.437038
559292,6366,1385.398209,6761,1314.428635,6495,1435.640031,5995,1478.613845
559295,5375,1398.20986,5719,1321.122924,5498,1398.482357,5091,1484.434885
559298,31385,411.7054963,32155,436.9271653,10047,1672.908629,9587,1749.03317
559305,26922,450.57128,27073,454.5757397,8804,1573.107678,8707,1589.595038
559307,5157,1443.147179,5541,1350.996571,5332,1410.487809,4991,1495.42757
5599,34275,539.3061707,35204,614.7401432,13577,1713.570155,13466,1726.934427
561896,55575,212.0249393,55716,213.0729772,9087,1953.360955,9085,1952.964227
563466,30551,449.9116232,30551,449.9116232,10919,1810.244803,8375,1956.572776
5661,8041,1840.650914,8153,1816.96995,8195,1811.591092,8032,1842.716882
5679,7750,1877.411355,7902,1843.642875,8048,1852.713966,7748,1878.594347
569365,35151,591.1948166,36937,758.6087934,12879,2065.291016,14033,2131.173306
572307,42285,421.8084427,42459,420.6848725,7084,4847.084416,6946,4936.88425
573729,24888,520.1069994,25937,615.0715195,9294,1943.222294,9099,1982.871195
573826,6240,1430.552404,6632,1366.183504,6095,1496.781788,5983,1523.240682
578455,27092,503.5403809,28149,586.2369178,9958,1877.63798,9802,1906.114262
578456,47438,244.6805515,47775,253.5800942,8309,2060.820676,8308,2060.684401
578457,68568,192.590217,72891,222.5486137,12923,1599.64095,12927,1599.859596
578458,74622,237.4253973,75649,249.2999114,13190,1793.494769,13194,1793.265575
578459,44828,244.102726,45555,253.5016573,7429,2084.34648,7278,2126.253641
578460,2066,979.2429816,2133,950.7416784,2678,882.6549664,2060,982.1699029
5786,30783,583.4887763,31131,595.8270855,12403,1760.629122,12399,1760.555529
5801,35483,389.2658738,35483,389.2658738,6867,3412.061453,6867,3412.061453
5802,38579,338.7447834,38625,338.1893592,8683,2485.690775,8581,2510.94045
5804,31573,383.0928958,31573,383.0928958,6057,3146.824831,6057,3146.824831
5823,18136,463.3098809,18192,462.5566733,10290,979.2863946,9822,974.0719813
5851,13296,837.2469916,13363,834.6156552,5161,2517.472389,5109,2540.823645
5854,12629,887.9751366,12689,885.5332966,5255,2380.069648,5279,2357.622466
5857,15150,777.8135314,15222,775.1606885,5744,2478.983461,5672,2507.703808
58627,6234,1390.271575,6234,1390.271575,6027,1443.371993,6027,1443.371993
5866,13296,654.8376955,13270,652.733685,5080,1815.980709,5079,1811.704272
5872,13564,578.8262312,13746,589.5369562,5398,1662.927566,5329,1682.485832
5874,14594,417.4993833,14640,416.3876366,3796,1802.700738,3795,1803.023979
590646,8177,1082.400514,8369,1332.268969,5547,1745.544438,6985,1628.666428
5932,29023,345.7263894,29604,360.5629307,8213,1695.671009,8056,1726.911867
597362,62677,221.5858608,64777,235.609877,11459,1643.209704,11278,1669.144086
599839,60105,220.7049663,60105,220.7049663,9262,1816.788707,9262,1816.788707
619300,7036,1151.446134,7206,1428.338468,5983,1785.651011,5983,1785.651011
644223,5618,1284.012282,5618,1284.012282,5040,1442.657341,5040,1442.657341
644352,38364,494.6495673,39773,645.1342117,14749,1928.043257,14655,1976.694234
645133,32972,509.3166626,33344,505.6881598,12400,1503.482661,12004,1546.252416
645134,55070,266.9735064,56943,310.2600671,9169,2159.468644,9422,2228.032053
647221,13429,845.4142527,13407,843.2726188,5429,2304.356788,5354,2326.596377
650164,70667,226.7892651,74845,269.1426415,14087,1744.36736,13925,1763.71289
653667,10882,646.1213931,11468,872.3269969,5494,1894.62632,5180,2012.358494
655819,28317,549.0676978,28317,549.0676978,10364,1673.557024,10364,1673.557024
655827,26547,549.4974197,26745,545.7767059,9974,1653.031181,9849,1672.886892
655844,30270,569.7115956,30270,569.7115956,11688,1614.599589,11688,1614.599589
655863,23727,574.0355291,23727,574.0355291,8312,1866.272257,8312,1866.272257
656061,29021,339.8971779,29021,339.8971779,7496,2073.124466,7496,1624.618463
658429,23975,511.7637956,25123,639.8151893,9225,1867.560976,9153,1900.934338
660122,48223,469.5769861,48400,488.0110744,15708,1674.925197,15708,1674.925197
663202,20659,570.8408442,20717,569.4699522,8086,1589.964878,8028,1600.865471
663331,20652,572.9247531,20713,571.4774779,8041,1603.458774,7980,1615.092857
665024,33688,492.3820648,34034,528.1794676,12809,1559.422515,12705,1571.450138
665079,40380,390.8897474,40571,389.5105617,14637,1326.302248,14446,1342.567216
665912,31663,514.8104728,32262,586.5075631,12308,1682.389178,12214,1694.629851
670483,69518,214.5165569,71302,230.4544894,11885,1744.983929,11755,1763.019736
671144,19146,349.4990076,21315,407.2844476,5395,1762.549212,5277,1799.97347
671987,30788,519.6396973,31205,559.3422208,11846,1628.626794,11698,1648.087793
67593,62858,479.4497916,64764,485.6671608,28142,1338.382418,26489,1417.06497
679716,9936,1338.988829,10003,1330.614216,9930,1347.144209,9822,1354.827326
683960,9090,921.0744774,9297,940.4442293,6575,1385.579924,6421,1416.846286
684364,37109,316.2761864,37344,327.2561322,8700,1822.893563,8700,1822.893563
690307,34636,468.43091,35354,511.968377,11165,1811.986476,10843,1863.395463
692275,22826,603.3623061,24855,752.9385637,10240,1994.199902,10156,2009.856341
694068,66301,219.4293902,68777,240.9663114,11419,1856.509677,11338,1869.149056
695850,79742,326.7312708,80699,336.9438903,20435,1502.245119,20146,1520.442966
698492,15369,581.1873251,15874,617.4754315,7211,1447.443905,7034,1481.887404
717646,21776,603.402094,22548,680.8943587,10549,1542.767845,10508,1548.371241
717944,80623,224.3009439,83359,240.2813493,14572,1754.945306,14303,1786.377683
717982,114406,238.3347464,117636,250.3101517,23783,1588.024345,23555,1602.484441
71804,10583,1308.246716,10676,1297.593855,10676,1297.593855,10585,1308.112612
721885,88652,217.783671,92012,239.4262922,14453,1987.088009,14066,2038.975686
732165,68114,226.6525678,72000,253.4495694,12509,1854.32001,12287,1886.355254
741275,69005,220.802681,71959,239.9844217,11647,1841.913969,11540,1857.983102
741705,80481,224.5400032,84226,248.01344,13896,1890.968984,13758,1909.122983
744533,26402,895.7494508,27461,883.0368887,16620,1591.330024,15713,1678.897283
747525,70256,215.4485026,71846,231.1727027,13272,1595.876432,13275,1596.548249
747676,79305,231.8556459,80478,247.0309153,16380,1667.311844,16373,1666.602516
756982,36375,472.9428179,36375,472.9428179,11479,1692.11508,11479,1692.11508
759272,21378,556.7766863,21503,549.000372,7475,1812.550769,7165,1864.547104
759273,40009,515.1852333,40009,515.1852333,14650,1565.897474,14650,1565.897474
761204,70590,501.546678,74486,594.6504847,23240,1523.379002,27942,1761.868191
763406,6737,1193.26065,6927,1267.2548,5701,1589.66462,5542,1633.08607
763407,74289,236.3263067,75325,248.6520412,16850,1602.375668,16543,1630.87602
764103,30723,335.6832992,31233,355.4485,6858,1836.493147,6858,1836.493147
77020,9342,685.6145365,9342,685.6241704,4202,1581.577344,4202,1581.577344
771870,26695,578.5548605,27180,570.0339956,11315,1534.438533,10827,1597.106862
796027,5337,1483.840922,5550,1436.553153,5341,1507.607939,5128,1559.774376
84753,12131,1026.115654,12350,1008.642996,6887,1924.492377,6766,1957.108779
858893,21492,669.8717197,22741,893.0372895,9356,2174.727448,9578,2233.29693
861557,29546,555.271475,29546,555.271475,11799,1525.264683,11799,1525.264683
869250,16502,373.6422858,16558,373.2454403,4058,1820.266141,4002,1842.150675
869754,7290,1050.639369,7614,1108.394142,6090,1436.379803,5838,1495.510449
871575,5823,1289.078825,5913,1271.453746,5408,1396.149963,5325,1415.668169
876142,1968,1010.476118,2068,976.3791103,2011,1001.431129,1939,1026.042806
879819,30465,371.099524,31260,415.2260397,8602,1695.240525,8320,1749.63137
881290,2663,1102.815621,2726,1141.626926,2724,1142.496329,2661,1166.083803
905079,157715,193.8660368,160240,199.2256365,24923,1863.937688,24822,1873.113045
907965,1882,1054.173751,1950,1033.279487,1912,1054.394874,1847,1074.726584
91928,28798,620.6000764,28859,619.5137392,12110,1585.983072,12049,1593.472985
929439,8187,1882.594235,8182,1880.765461,8249,1887.403443,8147,1889.308089
930089,32765,504.6608576,32765,504.6608576,12853,1418.719365,12853,1418.719365
930090,31750,506.1462992,31750,506.1462992,12002,1479.722546,12002,1479.722546
930091,33324,501.2331653,33324,501.2331653,12882,1432.632899,12882,1432.632899
931890,4662,1389.640927,4857,1338.33951,4854,1467.615575,4434,1470.162833
936046,61309,217.9229477,63358,233.9269863,10606,1738.643881,10449,1764.096851
944170,29800,239.8731544,29800,239.8731544,5707,1390.580165,5707,1390.577536
948595,2777,1033.478214,2829,1158.941676,2825,1160.627611,2773,1179.586369
983644,28872,507.217685,28872,507.217685,9651,1743.02207,9651,1743.02207
983966,7980,982.8572682,8262,1061.74534,6184,1474.25469,6032,1509.477785
984485,7292,1158.804992,7481,1220.986499,6166,1521.611742,5996,1562.78469
984486,8015,1037.901809,8459,1135.822201,6796,1476.316363,6399,1563.300828
984487,7261,1113.204655,7548,1151.290806,6143,1454.431548,5885,1514.82226
985895,35201,445.7184739,35201,445.7184739,12469,1446.172989,12469,1446.172989
99158,46913,413.9905996,47097,412.797588,8177,4749.043048,8004,4849.945277
993615,2241,959.7791165,2295,943.6962963,2293,944.5351068,2239,961.2027691
993615,2241,959.7791165,2295,943.6962963,2293,944.5351068,2239,961.2027691
