,parentTaxid,taxid,assembler
254,5820,647221,SSPACE
255,5820,647221,Velvet
131,418101,31271,
150,418101,352914,
205,418101,54757,allpaths
232,418101,5823,
131,31271,31271,
232,5823,5823,
205,54757,54757,allpaths
150,352914,352914,
154,418107,36329,
234,418107,5854,GapFiller
235,418107,5854,PAGIT
236,418107,5854,Velvet
252,418107,647221,GapFiller
253,418107,647221,PAGIT
254,418107,647221,SSPACE
255,418107,647221,Velvet
252,647221,647221,GapFiller
253,647221,647221,PAGIT
254,647221,647221,SSPACE
255,647221,647221,Velvet
234,5854,5854,GapFiller
235,5854,5854,PAGIT
236,5854,5854,Velvet
154,36329,36329,
97,208452,208452,
19,418103,1120755,GS
20,418103,1120755,PCR
21,418103,1120755,fosmid
22,418103,1120755,manual
23,418103,1120755,mapping
42,418103,1237626,allpaths
46,418103,126793,
233,418103,5851,
237,418103,5857,allpaths
237,5857,5857,allpaths
42,1237626,1237626,allpaths
233,5851,5851,
46,126793,126793,
19,1120755,1120755,GS
20,1120755,1120755,PCR
21,1120755,1120755,fosmid
22,1120755,1120755,manual
23,1120755,1120755,mapping
17,1280412,110365,Newbler
151,1280412,353151,
152,1280412,353152,
178,1280412,441375,
181,1280412,44415,
198,1280412,508771,Celera
201,1280412,51315,
219,1280412,572307,
229,1280412,5801,
230,1280412,5802,
231,1280412,5804,
333,1280412,99158,Newbler
151,423054,353151,
152,423054,353152,
178,423054,441375,
181,423054,44415,
198,423054,508771,Celera
201,423054,51315,
219,423054,572307,
229,423054,5801,
230,423054,5802,
231,423054,5804,
333,423054,99158,Newbler
198,5809,508771,Celera
219,5809,572307,
333,5809,99158,Newbler
333,99158,99158,Newbler
198,508771,508771,Celera
219,572307,572307,
181,5800,44415,
201,5800,51315,
229,5800,5801,
230,5800,5802,
231,5800,5804,
201,51315,51315,
229,5801,5801,
230,5802,5802,
231,5804,5804,
181,44415,44415,
151,5806,353151,
152,5806,353152,
178,5806,441375,
178,441375,441375,
151,353151,353151,
152,353152,353152,
17,110365,110365,Newbler
130,6020,312017,Celera
164,6020,412030,
244,6020,5932,Celera
130,31277,312017,Celera
244,31277,5932,Celera
244,5932,5932,Celera
130,312017,312017,Celera
164,412030,412030,
169,423536,423536,
0,4751,1028729,CLCBio
1,4751,1037660,Allpaths-LG
2,4751,1041607,
3,4751,1043004,Allpaths-LG
4,4751,1043005,AllPaths-LG
5,4751,1064592,
6,4751,1069680,ALLPATHS
7,4751,1071378,
8,4751,1071380,
9,4751,1071381,
10,4751,1071382,
11,4751,1072389,Newbler
13,4751,1080349,AllPaths
14,4751,1081104,SOAPdenovo
18,4751,1116229,GS
25,4751,1130832,SOAPdenovo
27,4751,1136231,
29,4751,1168221,ALLPATHS
30,4751,1170230,SOAPdenovo
31,4751,1178016,
32,4751,1182541,allpaths
33,4751,1182542,allpaths
34,4751,1182543,
35,4751,1182544,allpaths
36,4751,1182545,allpaths
37,4751,1186058,GS
38,4751,1213859,SOAPdenovo
39,4751,1220924,allpaths
40,4751,1229662,Newbler
41,4751,1230383,
45,4751,1263415,Newbler
47,4751,1276141,SOAPdenovo
48,4751,1276143,SOAPdenovo
49,4751,1277687,Newbler
50,4751,1279043,allpaths
51,4751,1284197,Newbler
52,4751,1286976,CLC
53,4751,1287680,CLC
54,4751,1287681,CLC
55,4751,1295528,allpaths
56,4751,1295533,allpaths
57,4751,1296096,allpaths
58,4751,1296100,allpaths
59,4751,1296121,allpaths
60,4751,1296122,allpaths
62,4751,1299270,SOAPdenovo
63,4751,1305764,
64,4751,1328760,Allpaths-LG
65,4751,1344418,Allpaths-LG
66,4751,1354746,Ray
68,4751,1365824,SSPACE
69,4751,1365824,Velvet
70,4751,1367422,SPAdes
71,4751,1380566,Allpaths-LG
72,4751,1381753,Newbler
73,4751,1397361,Newbler
74,4751,1408163,Celera
75,4751,1408657,Abyss
76,4751,1408657,Spades
77,4751,1408658,
80,4751,1441469,ALLPATHS-LG
81,4751,1442368,allpaths
82,4751,1442369,allpaths
83,4751,1442370,allpaths
84,4751,1442371,allpaths
85,4751,1445577,Velvet
86,4751,1460663,Allpaths-LG
87,4751,1485682,Geneious
88,4751,1485682,Ray
89,4751,1485682,Velvet
90,4751,149040,Allpaths-LG
91,4751,1509407,Newbler
94,4751,1664694,SPAdes
98,4751,212818,allpaths
99,4751,214684,
100,4751,215243,allpaths
101,4751,222929,
102,4751,227321,
103,4751,229533,
104,4751,235443,
105,4751,236234,CLC
106,4751,237561,
107,4751,237631,Arachne
108,4751,240176,
109,4751,242507,
110,4751,246410,
111,4751,253628,allpaths
114,4751,27334,SOAPdenovo
116,4751,283643,
117,4751,284590,
118,4751,284591,
119,4751,284592,
120,4751,284593,
121,4751,284811,
122,4751,284812,
123,4751,284813,
125,4751,294746,
126,4751,294747,
128,4751,306901,
129,4751,306902,
132,4751,321614,
133,4751,322104,
134,4751,330879,
135,4751,331117,
136,4751,33203,Allpaths-LG
137,4751,332648,
138,4751,332952,
140,4751,334819,
141,4751,336722,JAZZ
142,4751,336963,
143,4751,339724,
144,4751,341663,
145,4751,342668,CLC
146,4751,344612,
148,4751,348802,allpaths
155,4751,367110,Arachne
156,4751,367775,
159,4751,379508,
160,4751,383855,Arachne
161,4751,398673,
162,4751,402676,Arachne
166,4751,413071,phredPhrap
167,4751,418459,
170,4751,425011,
171,4751,425265,
172,4751,426418,
173,4751,426428,
174,4751,431241,
176,4751,436907,
179,4751,441959,
180,4751,441960,
182,4751,452589,phredPhrap
183,4751,45286,
184,4751,460523,Newbler
186,4751,481877,
187,4751,483514,Arachne
189,4751,486041,
190,4751,4909,
191,4751,4950,
192,4751,498019,Newbler
193,4751,498019,SSPACE-STANDARD
194,4751,498257,
195,4751,500485,
196,4751,502779,Pilon
197,4751,502780,Pilon
199,4751,510516,
200,4751,510951,Newbler
202,4751,515849,
203,4751,526221,
204,4751,535722,Arachne
206,4751,554155,
208,4751,559292,
209,4751,559295,
210,4751,559298,Unknown
211,4751,559305,
212,4751,559307,
213,4751,5599,Allpaths-LG
214,4751,561896,
215,4751,563466,CLC
218,4751,569365,allpaths
220,4751,573729,
221,4751,573826,
222,4751,578455,
223,4751,578456,Arachne
224,4751,578457,Arachne
225,4751,578458,Arachne
226,4751,578459,Arachne
227,4751,578460,
238,4751,58627,Newbler
243,4751,590646,Newbler
245,4751,597362,Newbler
246,4751,599839,
247,4751,619300,Newbler
248,4751,644223,
249,4751,644352,Newbler
250,4751,645133,
251,4751,645134,
256,4751,650164,Newbler
257,4751,653667,Newbler
258,4751,655819,Newbler
259,4751,655827,SOAPdenovo
260,4751,655844,Newbler
261,4751,655844,SOAPdenovo
262,4751,655863,
263,4751,656061,
264,4751,658429,Newbler
265,4751,660122,
266,4751,663202,
267,4751,663331,
268,4751,665024,Allpaths-LG
269,4751,665079,
270,4751,665912,Newbler
271,4751,670483,Newbler
272,4751,671144,Newbler
273,4751,671987,Newbler
276,4751,683960,Newbler
277,4751,684364,ARACHNE
278,4751,690307,Newbler
279,4751,692275,Newbler
280,4751,694068,Newbler
282,4751,698492,Newbler
283,4751,717646,Newbler
284,4751,717944,Newbler
285,4751,717982,Newbler
287,4751,721885,
288,4751,732165,Newbler
289,4751,741275,Newbler
290,4751,741705,Newbler
292,4751,747525,Arachne
293,4751,747676,JAZZ
294,4751,756982,gsAssembler
295,4751,759272,Celera
296,4751,759273,HGAP3.0
297,4751,759273,Manual
299,4751,763406,
300,4751,763407,JGI
301,4751,764103,Alpaths-LG
302,4751,77020,
303,4751,771870,
304,4751,796027,
305,4751,84753,allpaths-lg
306,4751,858893,ALLPATHS
307,4751,861557,Abyss
309,4751,869754,Newbler
310,4751,871575,Newbler
311,4751,876142,
312,4751,879819,Allpaths-LG
313,4751,881290,Newbler
315,4751,907965,
316,4751,91928,allpaths
318,4751,930089,AllPaths-LG
319,4751,930090,AllPaths-LG
320,4751,930091,Allpaths-LG
321,4751,931890,
322,4751,936046,
326,4751,948595,Newbler
327,4751,983644,Newbler
328,4751,983966,Allpaths-LG
329,4751,984485,Allpaths-LG
330,4751,984486,Allpaths-LG
331,4751,984487,Allpaths-LG
332,4751,985895,
334,4751,993615,Newbler
0,451864,1028729,CLCBio
1,451864,1037660,Allpaths-LG
2,451864,1041607,
3,451864,1043004,Allpaths-LG
4,451864,1043005,AllPaths-LG
5,451864,1064592,
6,451864,1069680,ALLPATHS
7,451864,1071378,
8,451864,1071380,
9,451864,1071381,
10,451864,1071382,
11,451864,1072389,Newbler
13,451864,1080349,AllPaths
14,451864,1081104,SOAPdenovo
18,451864,1116229,GS
25,451864,1130832,SOAPdenovo
27,451864,1136231,
29,451864,1168221,ALLPATHS
30,451864,1170230,SOAPdenovo
32,451864,1182541,allpaths
33,451864,1182542,allpaths
34,451864,1182543,
35,451864,1182544,allpaths
36,451864,1182545,allpaths
37,451864,1186058,GS
38,451864,1213859,SOAPdenovo
39,451864,1220924,allpaths
