,parentTaxid,taxid,assembler
265,716545,660122,
266,716545,663202,
267,716545,663331,
268,716545,665024,Allpaths-LG
269,716545,665079,
270,716545,665912,Newbler
273,716545,671987,Newbler
276,716545,683960,Newbler
278,716545,690307,Newbler
279,716545,692275,Newbler
283,716545,717646,Newbler
294,716545,756982,gsAssembler
295,716545,759272,Celera
296,716545,759273,HGAP3.0
297,716545,759273,Manual
299,716545,763406,
303,716545,771870,
304,716545,796027,
306,716545,858893,ALLPATHS
307,716545,861557,Abyss
309,716545,869754,Newbler
310,716545,871575,Newbler
316,716545,91928,allpaths
318,716545,930089,AllPaths-LG
319,716545,930090,AllPaths-LG
320,716545,930091,Allpaths-LG
321,716545,931890,
327,716545,983644,Newbler
328,716545,983966,Allpaths-LG
329,716545,984485,Allpaths-LG
330,716545,984486,Allpaths-LG
331,716545,984487,Allpaths-LG
332,716545,985895,
0,147538,1028729,CLCBio
3,147538,1043004,Allpaths-LG
4,147538,1043005,AllPaths-LG
11,147538,1072389,Newbler
14,147538,1081104,SOAPdenovo
18,147538,1116229,GS
29,147538,1168221,ALLPATHS
30,147538,1170230,SOAPdenovo
32,147538,1182541,allpaths
33,147538,1182542,allpaths
34,147538,1182543,
35,147538,1182544,allpaths
36,147538,1182545,allpaths
38,147538,1213859,SOAPdenovo
39,147538,1220924,allpaths
40,147538,1229662,Newbler
45,147538,1263415,Newbler
47,147538,1276141,SOAPdenovo
48,147538,1276143,SOAPdenovo
50,147538,1279043,allpaths
51,147538,1284197,Newbler
52,147538,1286976,CLC
53,147538,1287680,CLC
54,147538,1287681,CLC
64,147538,1328760,Allpaths-LG
70,147538,1367422,SPAdes
71,147538,1380566,Allpaths-LG
73,147538,1397361,Newbler
74,147538,1408163,Celera
80,147538,1441469,ALLPATHS-LG
81,147538,1442368,allpaths
82,147538,1442369,allpaths
83,147538,1442370,allpaths
84,147538,1442371,allpaths
85,147538,1445577,Velvet
86,147538,1460663,Allpaths-LG
90,147538,149040,Allpaths-LG
91,147538,1509407,Newbler
94,147538,1664694,SPAdes
98,147538,212818,allpaths
100,147538,215243,allpaths
101,147538,222929,
102,147538,227321,
103,147538,229533,
105,147538,236234,CLC
109,147538,242507,
110,147538,246410,
111,147538,253628,allpaths
114,147538,27334,SOAPdenovo
128,147538,306901,
132,147538,321614,
134,147538,330879,
135,147538,331117,
136,147538,33203,Allpaths-LG
137,147538,332648,
138,147538,332952,
140,147538,334819,
141,147538,336722,JAZZ
142,147538,336963,
143,147538,339724,
144,147538,341663,
145,147538,342668,CLC
146,147538,344612,
148,147538,348802,allpaths
155,147538,367110,Arachne
160,147538,383855,Arachne
161,147538,398673,
166,147538,413071,phredPhrap
170,147538,425011,
172,147538,426418,
173,147538,426428,
174,147538,431241,
179,147538,441959,
180,147538,441960,
182,147538,452589,phredPhrap
194,147538,498257,
195,147538,500485,
196,147538,502779,Pilon
197,147538,502780,Pilon
199,147538,510516,
200,147538,510951,Newbler
202,147538,515849,
203,147538,526221,
204,147538,535722,Arachne
206,147538,554155,
210,147538,559298,Unknown
211,147538,559305,
213,147538,5599,Allpaths-LG
215,147538,563466,CLC
218,147538,569365,allpaths
220,147538,573729,
222,147538,578455,
249,147538,644352,Newbler
250,147538,645133,
258,147538,655819,Newbler
259,147538,655827,SOAPdenovo
260,147538,655844,Newbler
261,147538,655844,SOAPdenovo
262,147538,655863,
263,147538,656061,
264,147538,658429,Newbler
265,147538,660122,
266,147538,663202,
267,147538,663331,
268,147538,665024,Allpaths-LG
269,147538,665079,
270,147538,665912,Newbler
273,147538,671987,Newbler
278,147538,690307,Newbler
279,147538,692275,Newbler
283,147538,717646,Newbler
294,147538,756982,gsAssembler
295,147538,759272,Celera
296,147538,759273,HGAP3.0
297,147538,759273,Manual
303,147538,771870,
306,147538,858893,ALLPATHS
307,147538,861557,Abyss
316,147538,91928,allpaths
318,147538,930089,AllPaths-LG
319,147538,930090,AllPaths-LG
320,147538,930091,Allpaths-LG
327,147538,983644,Newbler
332,147538,985895,
0,716546,1028729,CLCBio
3,716546,1043004,Allpaths-LG
4,716546,1043005,AllPaths-LG
11,716546,1072389,Newbler
14,716546,1081104,SOAPdenovo
18,716546,1116229,GS
29,716546,1168221,ALLPATHS
30,716546,1170230,SOAPdenovo
32,716546,1182541,allpaths
33,716546,1182542,allpaths
34,716546,1182543,
35,716546,1182544,allpaths
36,716546,1182545,allpaths
38,716546,1213859,SOAPdenovo
39,716546,1220924,allpaths
40,716546,1229662,Newbler
45,716546,1263415,Newbler
47,716546,1276141,SOAPdenovo
48,716546,1276143,SOAPdenovo
50,716546,1279043,allpaths
52,716546,1286976,CLC
53,716546,1287680,CLC
54,716546,1287681,CLC
64,716546,1328760,Allpaths-LG
70,716546,1367422,SPAdes
71,716546,1380566,Allpaths-LG
73,716546,1397361,Newbler
74,716546,1408163,Celera
80,716546,1441469,ALLPATHS-LG
81,716546,1442368,allpaths
82,716546,1442369,allpaths
83,716546,1442370,allpaths
84,716546,1442371,allpaths
85,716546,1445577,Velvet
86,716546,1460663,Allpaths-LG
90,716546,149040,Allpaths-LG
91,716546,1509407,Newbler
94,716546,1664694,SPAdes
98,716546,212818,allpaths
100,716546,215243,allpaths
101,716546,222929,
102,716546,227321,
103,716546,229533,
105,716546,236234,CLC
109,716546,242507,
110,716546,246410,
111,716546,253628,allpaths
114,716546,27334,SOAPdenovo
128,716546,306901,
132,716546,321614,
134,716546,330879,
135,716546,331117,
136,716546,33203,Allpaths-LG
137,716546,332648,
138,716546,332952,
140,716546,334819,
141,716546,336722,JAZZ
142,716546,336963,
143,716546,339724,
144,716546,341663,
145,716546,342668,CLC
146,716546,344612,
148,716546,348802,allpaths
155,716546,367110,Arachne
160,716546,383855,Arachne
161,716546,398673,
166,716546,413071,phredPhrap
170,716546,425011,
172,716546,426418,
173,716546,426428,
174,716546,431241,
179,716546,441959,
180,716546,441960,
182,716546,452589,phredPhrap
194,716546,498257,
195,716546,500485,
196,716546,502779,Pilon
197,716546,502780,Pilon
199,716546,510516,
200,716546,510951,Newbler
202,716546,515849,
203,716546,526221,
204,716546,535722,Arachne
206,716546,554155,
210,716546,559298,Unknown
211,716546,559305,
213,716546,5599,Allpaths-LG
215,716546,563466,CLC
218,716546,569365,allpaths
220,716546,573729,
222,716546,578455,
249,716546,644352,Newbler
250,716546,645133,
258,716546,655819,Newbler
259,716546,655827,SOAPdenovo
260,716546,655844,Newbler
261,716546,655844,SOAPdenovo
262,716546,655863,
264,716546,658429,Newbler
265,716546,660122,
266,716546,663202,
267,716546,663331,
268,716546,665024,Allpaths-LG
269,716546,665079,
270,716546,665912,Newbler
273,716546,671987,Newbler
278,716546,690307,Newbler
279,716546,692275,Newbler
283,716546,717646,Newbler
295,716546,759272,Celera
296,716546,759273,HGAP3.0
297,716546,759273,Manual
303,716546,771870,
306,716546,858893,ALLPATHS
307,716546,861557,Abyss
316,716546,91928,allpaths
318,716546,930089,AllPaths-LG
319,716546,930090,AllPaths-LG
320,716546,930091,Allpaths-LG
327,716546,983644,Newbler
332,716546,985895,
0,715989,1028729,CLCBio
11,715989,1072389,Newbler
14,715989,1081104,SOAPdenovo
18,715989,1116229,GS
38,715989,1213859,SOAPdenovo
40,715989,1229662,Newbler
47,715989,1276141,SOAPdenovo
48,715989,1276143,SOAPdenovo
52,715989,1286976,CLC
54,715989,1287681,CLC
71,715989,1380566,Allpaths-LG
73,715989,1397361,Newbler
85,715989,1445577,Velvet
90,715989,149040,Allpaths-LG
103,715989,229533,
109,715989,242507,
128,715989,306901,
136,715989,33203,Allpaths-LG
137,715989,332648,
140,715989,334819,
145,715989,342668,CLC
155,715989,367110,Arachne
161,715989,398673,
166,715989,413071,phredPhrap
173,715989,426428,
174,715989,431241,
182,715989,452589,phredPhrap
194,715989,498257,
200,715989,510951,Newbler
202,715989,515849,
203,715989,526221,
215,715989,563466,CLC
220,715989,573729,
222,715989,578455,
249,715989,644352,Newbler
250,715989,645133,
258,715989,655819,Newbler
259,715989,655827,SOAPdenovo
260,715989,655844,Newbler
261,715989,655844,SOAPdenovo
262,715989,655863,
264,715989,658429,Newbler
265,715989,660122,
269,715989,665079,
295,715989,759272,Celera
296,715989,759273,HGAP3.0
297,715989,759273,Manual
303,715989,771870,
327,715989,983644,Newbler
0,147550,1028729,CLCBio
14,147550,1081104,SOAPdenovo
38,147550,1213859,SOAPdenovo
40,147550,1229662,Newbler
47,147550,1276141,SOAPdenovo
48,147550,1276143,SOAPdenovo
52,147550,1286976,CLC
54,147550,1287681,CLC
71,147550,1380566,Allpaths-LG
73,147550,1397361,Newbler
85,147550,1445577,Velvet
103,147550,229533,
109,147550,242507,
128,147550,306901,
136,147550,33203,Allpaths-LG
140,147550,334819,
155,147550,367110,Arachne
161,147550,398673,
166,147550,413071,phredPhrap
173,147550,426428,
174,147550,431241,
182,147550,452589,phredPhrap
194,147550,498257,
200,147550,510951,Newbler
202,147550,515849,
203,147550,526221,
215,147550,563466,CLC
220,147550,573729,
222,147550,578455,
249,147550,644352,Newbler
250,147550,645133,
258,147550,655819,Newbler
259,147550,655827,SOAPdenovo
260,147550,655844,Newbler
261,147550,655844,SOAPdenovo
262,147550,655863,
265,147550,660122,
295,147550,759272,Celera
296,147550,759273,HGAP3.0
297,147550,759273,Manual
303,147550,771870,
327,147550,983644,Newbler
52,222544,1286976,CLC
73,222544,1397361,Newbler
109,222544,242507,
128,222544,306901,
155,222544,367110,Arachne
200,222544,510951,Newbler
202,222544,515849,
220,222544,573729,
222,222544,578455,
249,222544,644352,Newbler
262,222544,655863,
295,222544,759272,Celera
303,222544,771870,
128,5139,306901,
155,5139,367110,Arachne
200,5139,510951,Newbler
202,5139,515849,
220,5139,573729,
222,5139,578455,
295,5139,759272,Celera
303,5139,771870,
155,5148,367110,Arachne
200,5148,510951,Newbler
303,5148,771870,
155,5140,367110,Arachne
200,5140,510951,Newbler
155,367110,367110,Arachne
200,510951,510951,Newbler
303,771870,771870,
128,35718,306901,
220,35718,573729,
222,35718,578455,
295,35718,759272,Celera
128,5149,306901,
295,5149,759272,Celera
128,306901,306901,
295,759272,759272,Celera
222,578455,578455,
220,573729,573729,
202,515849,515849,
73,5152,1397361,Newbler
262,5152,655863,
73,1397361,1397361,Newbler
262,655863,655863,
109,81093,242507,
249,81093,644352,Newbler
249,644352,644352,Newbler
109,242507,242507,
52,1286976,1286976,CLC
0,222543,1028729,CLCBio
14,222543,1081104,SOAPdenovo
38,222543,1213859,SOAPdenovo
47,222543,1276141,SOAPdenovo
48,222543,1276143,SOAPdenovo
71,222543,1380566,Allpaths-LG
85,222543,1445577,Velvet
103,222543,229533,
136,222543,33203,Allpaths-LG
140,222543,334819,
161,222543,398673,
166,222543,413071,phredPhrap
173,222543,426428,
174,222543,431241,
182,222543,452589,phredPhrap
194,222543,498257,
203,222543,526221,
215,222543,563466,CLC
250,222543,645133,
258,222543,655819,Newbler
259,222543,655827,SOAPdenovo
260,222543,655844,Newbler
261,222543,655844,SOAPdenovo
265,222543,660122,
296,222543,759273,HGAP3.0
297,222543,759273,Manual
327,222543,983644,Newbler
38,1028384,1213859,SOAPdenovo
85,1028384,1445577,Velvet
194,1028384,498257,
203,1028384,526221,
250,1028384,645133,
296,1028384,759273,HGAP3.0
297,1028384,759273,Manual
38,5455,1213859,SOAPdenovo
85,5455,1445577,Velvet
250,5455,645133,
296,5455,759273,HGAP3.0
297,5455,759273,Manual
250,645133,645133,
85,1445577,1445577,Velvet
38,1213859,1213859,SOAPdenovo
296,759273,759273,HGAP3.0
297,759273,759273,Manual
194,1036719,498257,
203,1036719,526221,
194,498257,498257,
203,526221,526221,
0,5125,1028729,CLCBio
14,5125,1081104,SOAPdenovo
47,5125,1276141,SOAPdenovo
48,5125,1276143,SOAPdenovo
71,5125,1380566,Allpaths-LG
103,5125,229533,
136,5125,33203,Allpaths-LG
140,5125,334819,
161,5125,398673,
166,5125,413071,phredPhrap
173,5125,426428,
174,5125,431241,
182,5125,452589,phredPhrap
258,5125,655819,Newbler
259,5125,655827,SOAPdenovo
260,5125,655844,Newbler
261,5125,655844,SOAPdenovo
265,5125,660122,
327,5125,983644,Newbler
14,474943,1081104,SOAPdenovo
258,474943,655819,Newbler
327,474943,983644,Newbler
327,983644,983644,Newbler
14,1081104,1081104,SOAPdenovo
258,655819,655819,Newbler
47,34397,1276141,SOAPdenovo
48,34397,1276143,SOAPdenovo
71,34397,1380566,Allpaths-LG
259,34397,655827,SOAPdenovo
260,34397,655844,Newbler
261,34397,655844,SOAPdenovo
47,5529,1276141,SOAPdenovo
48,5529,1276143,SOAPdenovo
259,5529,655827,SOAPdenovo
260,5529,655844,Newbler
261,5529,655844,SOAPdenovo
47,1276141,1276141,SOAPdenovo
48,1276143,1276143,SOAPdenovo
259,655827,655827,SOAPdenovo
260,655844,655844,Newbler
261,655844,655844,SOAPdenovo
71,1380566,1380566,Allpaths-LG
0,5506,1028729,CLCBio
103,5506,229533,
140,5506,334819,
173,5506,426428,
265,5506,660122,
0,569360,1028729,CLCBio
103,569360,229533,
0,1028729,1028729,CLCBio
103,229533,229533,
140,334819,334819,
265,660122,660122,
173,426428,426428,
161,5543,398673,
166,5543,413071,phredPhrap
174,5543,431241,
182,5543,452589,phredPhrap
161,398673,398673,
174,431241,431241,
182,452589,452589,phredPhrap
166,413071,413071,phredPhrap
136,33203,33203,Allpaths-LG
215,563466,563466,CLC
40,37989,1229662,Newbler
54,37989,1287681,CLC
54,1287681,1287681,CLC
40,1229662,1229662,Newbler
11,147548,1072389,Newbler
18,147548,1116229,GS
90,147548,149040,Allpaths-LG
137,147548,332648,
145,147548,342668,CLC
264,147548,658429,Newbler
269,147548,665079,
11,5178,1072389,Newbler
18,5178,1116229,GS
90,5178,149040,Allpaths-LG
137,5178,332648,
269,5178,665079,
137,28983,332648,
269,28983,665079,
269,665079,665079,
137,332648,332648,
90,149040,149040,Allpaths-LG
18,1116229,1116229,GS
11,1072389,1072389,Newbler
145,78156,342668,CLC
264,78156,658429,Newbler
145,342668,342668,CLC
264,658429,658429,Newbler
30,147545,1170230,SOAPdenovo
32,147545,1182541,allpaths
33,147545,1182542,allpaths
34,147545,1182543,
35,147545,1182544,allpaths
36,147545,1182545,allpaths
39,147545,1220924,allpaths
45,147545,1263415,Newbler
50,147545,1279043,allpaths
70,147545,1367422,SPAdes
74,147545,1408163,Celera
80,147545,1441469,ALLPATHS-LG
81,147545,1442368,allpaths
82,147545,1442369,allpaths
83,147545,1442370,allpaths
84,147545,1442371,allpaths
91,147545,1509407,Newbler
94,147545,1664694,SPAdes
98,147545,212818,allpaths
100,147545,215243,allpaths
101,147545,222929,
102,147545,227321,
110,147545,246410,
114,147545,27334,SOAPdenovo
134,147545,330879,
135,147545,331117,
138,147545,332952,
142,147545,336963,
143,147545,339724,
144,147545,341663,
146,147545,344612,
148,147545,348802,allpaths
170,147545,425011,
179,147545,441959,
180,147545,441960,
195,147545,500485,
196,147545,502779,Pilon
197,147545,502780,Pilon
199,147545,510516,
204,147545,535722,Arachne
206,147545,554155,
210,147545,559298,Unknown
211,147545,559305,
218,147545,569365,allpaths
266,147545,663202,
267,147545,663331,
278,147545,690307,Newbler
306,147545,858893,ALLPATHS
316,147545,91928,allpaths
30,451871,1170230,SOAPdenovo
74,451871,1408163,Celera
80,451871,1441469,ALLPATHS-LG
91,451871,1509407,Newbler
101,451871,222929,
102,451871,227321,
110,451871,246410,
114,451871,27334,SOAPdenovo
134,451871,330879,
135,451871,331117,
138,451871,332952,
142,451871,336963,
143,451871,339724,
144,451871,341663,
146,451871,344612,
170,451871,425011,
179,451871,441959,
180,451871,441960,
195,451871,500485,
196,451871,502779,Pilon
197,451871,502780,Pilon
199,451871,510516,
204,451871,535722,Arachne
206,451871,554155,
210,451871,559298,Unknown
211,451871,559305,
266,451871,663202,
267,451871,663331,
278,451871,690307,Newbler
101,33183,222929,
110,33183,246410,
142,33183,336963,
143,33183,339724,
196,33183,502779,Pilon
197,33183,502780,Pilon
204,33183,535722,Arachne
206,33183,554155,
210,33183,559298,Unknown
211,33183,559305,
266,33183,663202,
267,33183,663331,
204,34384,535722,Arachne
206,34384,554155,
211,34384,559305,
266,34384,663202,
267,34384,663331,
211,5550,559305,
266,5550,663202,
267,5550,663331,
266,663202,663202,
211,559305,559305,
267,663331,663331,
206,554155,554155,
204,535722,535722,Arachne
101,1593277,222929,
110,1593277,246410,
196,1593277,502779,Pilon
197,1593277,502780,Pilon
101,5500,222929,
110,5500,246410,
110,246410,246410,
101,222929,222929,
196,38946,502779,Pilon
197,38946,502780,Pilon
196,502779,502779,Pilon
197,502780,502780,Pilon
143,299071,339724,
210,299071,559298,Unknown
210,559298,559298,Unknown
143,339724,339724,
142,336963,336963,
30,5042,1170230,SOAPdenovo
74,5042,1408163,Celera
80,5042,1441469,ALLPATHS-LG
91,5042,1509407,Newbler
102,5042,227321,
114,5042,27334,SOAPdenovo
134,5042,330879,
135,5042,331117,
138,5042,332952,
144,5042,341663,
146,5042,344612,
170,5042,425011,
179,5042,441959,
180,5042,441960,
195,5042,500485,
199,5042,510516,
278,5042,690307,Newbler
30,1131492,1170230,SOAPdenovo
91,1131492,1509407,Newbler
102,1131492,227321,
114,1131492,27334,SOAPdenovo
134,1131492,330879,
135,1131492,331117,
138,1131492,332952,
144,1131492,341663,
146,1131492,344612,
170,1131492,425011,
195,1131492,500485,
199,1131492,510516,
278,1131492,690307,Newbler
91,5052,1509407,Newbler
102,5052,227321,
134,5052,330879,
135,5052,331117,
138,5052,332952,
144,5052,341663,
146,5052,344612,
170,5052,425011,
199,5052,510516,
278,5052,690307,Newbler
91,1509407,1509407,Newbler
146,344612,344612,
199,510516,510516,
134,330879,330879,
278,690307,690307,Newbler
138,332952,332952,
144,341663,341663,
170,425011,425011,
135,331117,331117,
102,227321,227321,
30,5073,1170230,SOAPdenovo
114,5073,27334,SOAPdenovo
195,5073,500485,
114,27334,27334,SOAPdenovo
30,1170230,1170230,SOAPdenovo
195,500485,500485,
74,28568,1408163,Celera
80,28568,1441469,ALLPATHS-LG
179,28568,441959,
180,28568,441960,
80,5094,1441469,ALLPATHS-LG
179,5094,441959,
180,5094,441960,
80,1441469,1441469,ALLPATHS-LG
180,441960,441960,
179,441959,441959,
74,1408163,1408163,Celera
32,451870,1182541,allpaths
33,451870,1182542,allpaths
34,451870,1182543,
35,451870,1182544,allpaths
36,451870,1182545,allpaths
39,451870,1220924,allpaths
45,451870,1263415,Newbler
50,451870,1279043,allpaths
70,451870,1367422,SPAdes
81,451870,1442368,allpaths
82,451870,1442369,allpaths
83,451870,1442370,allpaths
84,451870,1442371,allpaths
94,451870,1664694,SPAdes
98,451870,212818,allpaths
100,451870,215243,allpaths
148,451870,348802,allpaths
218,451870,569365,allpaths
306,451870,858893,ALLPATHS
316,451870,91928,allpaths
32,34395,1182541,allpaths
33,34395,1182542,allpaths
34,34395,1182543,
35,34395,1182544,allpaths
36,34395,1182545,allpaths
39,34395,1220924,allpaths
50,34395,1279043,allpaths
70,34395,1367422,SPAdes
81,34395,1442368,allpaths
82,34395,1442369,allpaths
83,34395,1442370,allpaths
84,34395,1442371,allpaths
94,34395,1664694,SPAdes
98,34395,212818,allpaths
100,34395,215243,allpaths
148,34395,348802,allpaths
218,34395,569365,allpaths
306,34395,858893,ALLPATHS
316,34395,91928,allpaths
32,43219,1182541,allpaths
33,43219,1182542,allpaths
34,43219,1182543,
35,43219,1182544,allpaths
36,43219,1182545,allpaths
50,43219,1279043,allpaths
70,43219,1367422,SPAdes
81,43219,1442368,allpaths
82,43219,1442369,allpaths
83,43219,1442370,allpaths
84,43219,1442371,allpaths
94,43219,1664694,SPAdes
98,43219,212818,allpaths
100,43219,215243,allpaths
148,43219,348802,allpaths
218,43219,569365,allpaths
306,43219,858893,ALLPATHS
316,43219,91928,allpaths
34,82105,1182543,
35,82105,1182544,allpaths
50,82105,1279043,allpaths
83,82105,1442370,allpaths
218,82105,569365,allpaths
218,569365,569365,allpaths
83,1442370,1442370,allpaths
34,1182543,1182543,
35,1182544,1182544,allpaths
50,1279043,1279043,allpaths
70,40354,1367422,SPAdes
81,40354,1442368,allpaths
84,40354,1442371,allpaths
70,1367422,1367422,SPAdes
81,1442368,1442368,allpaths
84,1442371,1442371,allpaths
36,5583,1182545,allpaths
98,5583,212818,allpaths
100,5583,215243,allpaths
148,5583,348802,allpaths
306,5583,858893,ALLPATHS
316,5583,91928,allpaths
148,348802,348802,allpaths
100,215243,215243,allpaths
316,91928,91928,allpaths
98,212818,212818,allpaths
306,858893,858893,ALLPATHS
36,1182545,1182545,allpaths
32,43220,1182541,allpaths
33,43220,1182542,allpaths
32,1182541,1182541,allpaths
33,1182542,1182542,allpaths
94,1664694,1664694,SPAdes
82,1442369,1442369,allpaths
39,1220924,1220924,allpaths
45,1263415,1263415,Newbler
3,147541,1043004,Allpaths-LG
4,147541,1043005,AllPaths-LG
29,147541,1168221,ALLPATHS
53,147541,1287680,CLC
86,147541,1460663,Allpaths-LG
105,147541,236234,CLC
111,147541,253628,allpaths
132,147541,321614,
141,147541,336722,JAZZ
160,147541,383855,Arachne
172,147541,426418,
213,147541,5599,Allpaths-LG
268,147541,665024,Allpaths-LG
270,147541,665912,Newbler
273,147541,671987,Newbler
279,147541,692275,Newbler
283,147541,717646,Newbler
307,147541,861557,Abyss
318,147541,930089,AllPaths-LG
319,147541,930090,AllPaths-LG
320,147541,930091,Allpaths-LG
332,147541,985895,
29,159987,1168221,ALLPATHS
53,159987,1287680,CLC
105,159987,236234,CLC
111,159987,253628,allpaths
53,45131,1287680,CLC
105,45131,236234,CLC
105,236234,236234,CLC
53,1287680,1287680,CLC
29,1168221,1168221,ALLPATHS
111,253628,253628,allpaths
3,451867,1043004,Allpaths-LG
4,451867,1043005,AllPaths-LG
141,451867,336722,JAZZ
160,451867,383855,Arachne
279,451867,692275,Newbler
283,451867,717646,Newbler
141,134362,336722,JAZZ
160,134362,383855,Arachne
279,134362,692275,Newbler
283,134362,717646,Newbler
141,93133,336722,JAZZ
160,93133,383855,Arachne
279,93133,692275,Newbler
279,692275,692275,Newbler
141,336722,336722,JAZZ
160,383855,383855,Arachne
283,717646,717646,Newbler
3,5579,1043004,Allpaths-LG
4,5579,1043005,AllPaths-LG
3,1043004,1043004,Allpaths-LG
4,1043005,1043005,AllPaths-LG
86,92860,1460663,Allpaths-LG
132,92860,321614,
172,92860,426418,
213,92860,5599,Allpaths-LG
268,92860,665024,Allpaths-LG
270,92860,665912,Newbler
273,92860,671987,Newbler
307,92860,861557,Abyss
318,92860,930089,AllPaths-LG
319,92860,930090,AllPaths-LG
320,92860,930091,Allpaths-LG
332,92860,985895,
132,715340,321614,
172,715340,426418,
213,715340,5599,Allpaths-LG
268,715340,665024,Allpaths-LG
270,715340,665912,Newbler
273,715340,671987,Newbler
307,715340,861557,Abyss
318,715340,930089,AllPaths-LG
319,715340,930090,AllPaths-LG
320,715340,930091,Allpaths-LG
332,715340,985895,
172,28556,426418,
213,28556,5599,Allpaths-LG
268,28556,665024,Allpaths-LG
270,28556,665912,Newbler
273,28556,671987,Newbler
307,28556,861557,Abyss
318,28556,930089,AllPaths-LG
319,28556,930090,AllPaths-LG
320,28556,930091,Allpaths-LG
268,33194,665024,Allpaths-LG
270,33194,665912,Newbler
318,33194,930089,AllPaths-LG
319,33194,930090,AllPaths-LG
320,33194,930091,Allpaths-LG
318,930089,930089,AllPaths-LG
320,930091,930091,Allpaths-LG
270,665912,665912,Newbler
268,665024,665024,Allpaths-LG
319,930090,930090,AllPaths-LG
172,5027,426418,
307,5027,861557,Abyss
172,426418,426418,
307,861557,861557,Abyss
273,671987,671987,Newbler
213,5599,5599,Allpaths-LG
132,321614,321614,
332,985895,985895,
86,1460663,1460663,Allpaths-LG
64,1328760,1328760,Allpaths-LG
51,47021,1284197,Newbler
294,47021,756982,gsAssembler
51,1284197,1284197,Newbler
294,756982,756982,gsAssembler
263,656061,656061,
2,4892,1041607,
5,4892,1064592,
7,4892,1071378,
8,4892,1071380,
9,4892,1071381,
10,4892,1071382,
13,4892,1080349,AllPaths
27,4892,1136231,
65,4892,1344418,Allpaths-LG
106,4892,237561,
117,4892,284590,
118,4892,284591,
119,4892,284592,
120,4892,284593,
121,4892,284811,
125,4892,294746,
126,4892,294747,
129,4892,306902,
133,4892,322104,
159,4892,379508,
176,4892,436907,
183,4892,45286,
184,4892,460523,Newbler
190,4892,4909,
191,4892,4950,
192,4892,498019,Newbler
193,4892,498019,SSPACE-STANDARD
208,4892,559292,
209,4892,559295,
212,4892,559307,
221,4892,573826,
238,4892,58627,Newbler
243,4892,590646,Newbler
247,4892,619300,Newbler
248,4892,644223,
276,4892,683960,Newbler
299,4892,763406,
304,4892,796027,
309,4892,869754,Newbler
310,4892,871575,Newbler
321,4892,931890,
328,4892,983966,Allpaths-LG
329,4892,984485,Allpaths-LG
330,4892,984486,Allpaths-LG
331,4892,984487,Allpaths-LG
5,4893,1064592,
7,4893,1071378,
8,4893,1071380,
9,4893,1071381,
10,4893,1071382,
13,4893,1080349,AllPaths
117,4893,284590,
120,4893,284593,
121,4893,284811,
176,4893,436907,
183,4893,45286,
191,4893,4950,
208,4893,559292,
209,4893,559295,
212,4893,559307,
321,4893,931890,
13,4930,1080349,AllPaths
208,4930,559292,
13,1080349,1080349,AllPaths
208,559292,559292,
121,33170,284811,
183,33170,45286,
321,33170,931890,
183,45286,45286,
321,931890,931890,
121,284811,284811,
5,278028,1064592,
7,278028,1071378,
5,1064592,1064592,
7,1071378,1071378,
8,113604,1071380,
9,113604,1071381,
8,1071380,1071380,
9,1071381,1071381,
191,4950,4950,
176,436907,436907,
209,559295,559295,
212,559307,559307,
10,1071382,1071382,
117,284590,284590,
120,284593,284593,
27,766764,1136231,
106,766764,237561,
119,766764,284592,
125,766764,294746,
126,766764,294747,
133,766764,322104,
159,766764,379508,
221,766764,573826,
238,766764,58627,Newbler
243,766764,590646,Newbler
247,766764,619300,Newbler
329,766764,984485,Allpaths-LG
330,766764,984486,Allpaths-LG
331,766764,984487,Allpaths-LG
27,1535325,1136231,
106,1535325,237561,
126,1535325,294747,
159,1535325,379508,
221,1535325,573826,
27,1535326,1136231,
106,1535326,237561,
126,1535326,294747,
221,1535326,573826,
27,1136231,1136231,
126,294747,294747,
221,573826,573826,
106,237561,237561,
159,379508,379508,
119,4958,284592,
238,4958,58627,Newbler
238,58627,58627,Newbler
119,284592,284592,
133,322104,322104,
247,619300,619300,Newbler
125,294746,294746,
329,984485,984485,Allpaths-LG
330,984486,984486,Allpaths-LG
331,984487,984487,Allpaths-LG
243,590646,590646,Newbler
184,1156497,460523,Newbler
190,1156497,4909,
299,1156497,763406,
310,1156497,871575,Newbler
184,461281,460523,Newbler
310,461281,871575,Newbler
184,460523,460523,Newbler
310,871575,871575,Newbler
190,4919,4909,
299,4919,763406,
190,4909,4909,
299,763406,763406,
2,115784,1041607,
248,115784,644223,
276,115784,683960,Newbler
328,115784,983966,Allpaths-LG
2,599737,1041607,
276,599737,683960,Newbler
2,1041607,1041607,
276,683960,683960,Newbler
248,644223,644223,
328,983966,983966,Allpaths-LG
129,27319,306902,
192,27319,498019,Newbler
193,27319,498019,SSPACE-STANDARD
309,27319,869754,Newbler
129,36910,306902,
192,36910,498019,Newbler
193,36910,498019,SSPACE-STANDARD
192,498019,498019,Newbler
193,498019,498019,SSPACE-STANDARD
129,306902,306902,
309,869754,869754,Newbler
304,796027,796027,
65,1344418,1344418,Allpaths-LG
118,284591,284591,
6,451866,1069680,ALLPATHS
75,451866,1408657,Abyss
76,451866,1408657,Spades
77,451866,1408658,
122,451866,284812,
162,451866,402676,Arachne
187,451866,483514,Arachne
257,451866,653667,Newbler
282,451866,698492,Newbler
