61	554915	13642	45658	420.5854834	45940	418.4144972	12590	2014.059809	12336	2053.973087
70	554915	1410327	35343	540.5180375	35343	540.5180375	12682	1667.902066	12686	1667.880656
101	554915	261658	44153	460.7591104	44367	458.8670634	12363	2044.78557	12165	2076.847842
112	554915	294381	10700	961.7949533	10785	960.2981919	8342	1276.35615	8163	1290.490261
137	554915	352472	30141	702.2359577	30608	691.7615003	13961	1703.472244	13273	1767.773601
145	554915	370354	12167	880.8596203	12167	880.8631544	8814	1247.219197	8811	1247.214505
146	554915	370355	17437	892.5138499	17437	892.5138499	12007	1340.620638	11997	1341.224639
215	554915	5786	30783	583.4887763	31131	595.8270855	12403	1760.629122	12399	1760.555529
61	33083	13642	45658	420.5854834	45940	418.4144972	12590	2014.059809	12336	2053.973087
70	33083	1410327	35343	540.5180375	35343	540.5180375	12682	1667.902066	12686	1667.880656
101	33083	261658	44153	460.7591104	44367	458.8670634	12363	2044.78557	12165	2076.847842
137	33083	352472	30141	702.2359577	30608	691.7615003	13961	1703.472244	13273	1767.773601
215	33083	5786	30783	583.4887763	31131	595.8270855	12403	1760.629122	12399	1760.555529
101	5782	261658	44153	460.7591104	44367	458.8670634	12363	2044.78557	12165	2076.847842
137	5782	352472	30141	702.2359577	30608	691.7615003	13961	1703.472244	13273	1767.773601
215	5782	5786	30783	583.4887763	31131	595.8270855	12403	1760.629122	12399	1760.555529
101	261658	261658	44153	460.7591104	44367	458.8670634	12363	2044.78557	12165	2076.847842
215	5786	5786	30783	583.4887763	31131	595.8270855	12403	1760.629122	12399	1760.555529
137	352472	352472	30141	702.2359577	30608	691.7615003	13961	1703.472244	13273	1767.773601
61	13642	13642	45658	420.5854834	45940	418.4144972	12590	2014.059809	12336	2053.973087
70	1410327	1410327	35343	540.5180375	35343	540.5180375	12682	1667.902066	12686	1667.880656
12	5758	1076696	7853	1023.067999	7869	1023.418859	6193	1319.910383	6187	1321.099079
112	5758	294381	10700	961.7949533	10785	960.2981919	8342	1276.35615	8163	1290.490261
145	5758	370354	12167	880.8596203	12167	880.8631544	8814	1247.219197	8811	1247.214505
146	5758	370355	17437	892.5138499	17437	892.5138499	12007	1340.620638	11997	1341.224639
145	370354	370354	12167	880.8596203	12167	880.8631544	8814	1247.219197	8811	1247.214505
146	370355	370355	17437	892.5138499	17437	892.5138499	12007	1340.620638	11997	1341.224639
112	294381	294381	10700	961.7949533	10785	960.2981919	8342	1276.35615	8163	1290.490261
12	1076696	1076696	7853	1023.067999	7869	1023.418859	6193	1319.910383	6187	1321.099079
38	1257118	1257118	105766	186.663805	105766	186.6638239	15655	2021.329224	14974	1970.756445
16	33630	110365	9648	908.6446932	9879	889.273307	6606	1392.578262	6375	1440.347922
