taxid,assembler
1009464,unknown
1009714,Newbler
1009714,Allpaths
1009846,unknown
1009852,Newbler
1009853,Velvet
1009854,Velvet
1009856,unknown
1009857,unknown
1009858,unknown
1009859,unknown
101020,Celera
1010614,unknown
1010616,unknown
1010817,CLC
1010834,unknown
1010835,unknown
1010836,unknown
1010838,CLC
1010840,unknown
10116,Atlas
10116,CLCbio
10116,unknown
10116,PBjelly
10116,Velvet
10141,unknown
101510,unknown
101564,unknown
101564,a5
101570,unknown
101571,HGAP
101571,MGAP
101571,unknown
101571,SPAdes
10160,Allpaths
1016852,unknown
1016853,unknown
1016854,unknown
1016855,unknown
1016856,unknown
1016857,unknown
1016879,unknown
101688,unknown
1016998,unknown
1017264,unknown
1017266,Celera
1017270,unknown
1017270,Velvet
1017273,CLC
1017273,unknown
1017277,unknown
1017277,Velvet
101764,unknown
10181,Allpaths
101850,unknown
1018,ABYSS
102107,SOAPdenovo
102125,Newbler
102127,Newbler
102129,Newbler
102232,Newbler
10224,unknown
10228,unknown
10243,unknown
10245,unknown
10255,unknown
10256,unknown
10258,unknown
102608,unknown
102611,unknown
102617,unknown
102617,Newbler
102618,Velvet
10261,unknown
10264,unknown
10266,unknown
102684,unknown
1026882,Newbler
1026955,unknown
1026970,SOAPdenovo
10271,unknown
1027232,unknown
1027244,unknown
1027245,unknown
1027247,unknown
1027248,unknown
1027249,unknown
1027253,unknown
1027273,Allpaths
1027292,Newbler
1027360,Newbler
1027364,Newbler
1027371,Newbler
1027372,Newbler
1027373,Newbler
1027374,Newbler
1027396,CLC
1027397,DNASTAR
1027397,manual
10273,unknown
1027468,unknown
10276,unknown
1027869,unknown
1027880,unknown
1027947,unknown
10280,unknown
1028307,unknown
1028416,unknown
1028490,unknown
1028566,unknown
1028567,unknown
1028729,CLCBio
1028799,unknown
1028800,unknown
1028801,unknown
1028803,Newbler
1028803,combined
1028804,Newbler
1028804,combined
1028806,Newbler
1028806,combined
10288,unknown
102891,Allpaths
102897,unknown
1028989,unknown
1028,unknown
1029718,unknown
1029756,unknown
1029812,Velvet
1029813,Velvet
1029814,Velvet
1029815,Velvet
1029816,Velvet
1029817,Velvet
1029818,Velvet
1029819,Velvet
1029820,Velvet
1029821,Velvet
1029822,CLC
1029822,Newbler
1029823,Newbler
1029824,Newbler
1029825,unknown
10298,unknown
1029979,unknown
1029980,Newbler
1029981,Newbler
1029983,unknown
1029988,unknown
1029989,Newbler
1029996,Newbler
1029997,unknown
1029998,Newbler
1029999,Newbler
1030000,Newbler
1030001,Newbler
1030002,Newbler
1030003,Newbler
1030004,Newbler
1030005,Newbler
1030006,Newbler
1030007,Newbler
1030009,unknown
1030145,Newbler
1030157,unknown
1030157,Newbler
1030595,unknown
1030841,Newbler
1030842,Newbler
1030843,unknown
10310,unknown
1031288,Allpaths
1031536,unknown
1031564,unknown
1031709,unknown
1031710,unknown
1031711,unknown
1031746,unknown
10317,unknown
1032069,unknown
10320,unknown
103216,unknown
1032240,SSPACE-LongRead
1032362,unknown
1032457,unknown
1032473,unknown
1032474,unknown
1032480,unknown
1032488,Newbler
1032505,SPAdes
1032506,Celera
10325,unknown
10326,unknown
1032845,unknown
10331,unknown
10334,unknown
10335,unknown
103372,SOAPdenovo
1033730,unknown
1033731,unknown
1033732,unknown
1033733,unknown
1033734,unknown
1033736,unknown
1033737,unknown
1033738,unknown
1033739,unknown
1033740,unknown
1033741,unknown
1033743,unknown
1033802,CISA
1033802,Newbler
1033802,SOAPdenovo
1033802,Velvet
1033806,unknown
1033806,Newbler
1033806,SOAPdenovo
1033806,Velvet
1033806,v.
1033810,CISA
1033810,Newbler
1033810,SOAPdenovo
1033810,Velvet
1033813,SPAdes
1033837,unknown
1033846,IDBA-UD
1033854,Allpaths
1033854,Velvet
1033922,unknown
1033976,unknown
1033983,Velvet
1033991,unknown
1033992,Allpaths
1033993,Allpaths
1033994,Allpaths
1034096,unknown
1034125,unknown
1034128,unknown
1034143,unknown
1034149,unknown
1034345,unknown
1034346,unknown
1034347,unknown
1034377,unknown
103442,unknown
10345,unknown
1034768,Allpaths
1034768,Phrap
1034768,Velvet
1034769,Allpaths
1034769,Phrap
1034769,Velvet
1034807,unknown
1034808,unknown
1034809,unknown
1034836,unknown
1034943,unknown
1034944,unknown
1035116,MIRA
1035117,MIRA
1035184,Newbler
1035185,Celera
1035187,Celera
1035189,Celera
1035191,Velvet
1035193,Velvet
1035194,Velvet
1035195,Velvet
1035196,Allpaths
1035196,Velvet
1035197,Velvet
1035308,Allpaths
1035377,unknown
10353,unknown
1035482,unknown
1035485,unknown
1035662,unknown
1035817,unknown
1035839,Newbler
10359,unknown
1035,unknown
103603,unknown
1036171,CLC
1036172,unknown
1036177,Newbler
103621,ABYSS
1036672,unknown
1036673,unknown
1036674,Newbler
1036677,Unknown
10366,unknown
1036735,Newbler
1036743,unknown
103690,unknown
103695,unknown
1036963,unknown
10371,unknown
103722,unknown
103723,unknown
103724,unknown
1037256,Newbler
1037262,Newbler
10372,unknown
103733,IDBA
1037355,unknown
1037409,Allpaths
1037409,unknown
1037410,unknown
1037411,CLC
1037411,Newbler
1037523,unknown
1037660,Allpaths-LG
103782,unknown
1037890,Newbler
1037908,Newbler
1037911,unknown
1037915,Celera
103796,unknown
103796,SPAdes
1038068,unknown
103807,unknown
103808,SPAdes
103816,CLC
103816,unknown
103817,unknown
10381,unknown
103855,unknown
10385,unknown
10386,unknown
103881,unknown
1038844,AMOS
1038844,unknown
1038844,Newbler
1038844,Soapdenovo
1038856,unknown
1038858,Allpaths
1038859,Allpaths
1038860,Allpaths
1038861,Allpaths
1038862,Velvet
1038863,Allpaths
1038864,Allpaths
1038866,Allpaths
1038867,Allpaths
1038869,Allpaths
1038869,newbler
1038870,Allpaths
1038921,CA
1038922,CA
1038923,Celera
1038924,Celera
10390,unknown
103944,Discovar
10397,unknown
103985,CLC
10398,unknown
10401,unknown
10406,unknown
10407,unknown
104087,unknown
104087,Newbler
1040963,CLC
1040964,CLC
1040964,Newbler
1040978,Allpaths
1040979,Allpaths
1040980,Allpaths
1040981,Allpaths
1040982,Allpaths
1040983,Allpaths
1040984,Allpaths
1040985,Allpaths
1040986,Allpaths
1040987,Allpaths
1040988,Allpaths
1040988,Velvet
1040989,Allpaths
104099,CLC
1041015,BWA
1041015,Celera
1041015,GATK
1041015,unknown
1041015,Samtools
104101,Velvet
104102,CLC
104102,Velvet
104102,soapdenovo
1041138,Allpaths
1041138,Velvet
1041139,Allpaths
1041140,Allpaths
1041141,Allpaths
1041141,Velvet
1041142,Allpaths
1041143,Allpaths
1041144,Allpaths
1041145,Allpaths
1041146,Allpaths
1041147,Unknown
1041148,Allpaths
1041149,Allpaths
1041150,Allpaths
1041151,Allpaths
1041151,Velvet
1041152,Allpaths
1041153,Allpaths
1041154,Allpaths
1041155,Allpaths
1041156,Allpaths
1041157,Allpaths
1041159,Allpaths
1041504,unknown
1041521,CLC
1041521,Newbler
1041522,unknown
1041522,Newbler
1041522,manual
1041524,unknown
1041526,unknown
1041527,unknown
1041607,unknown
1041809,unknown
1041826,unknown
1041929,unknown
1041930,unknown
1042122,unknown
1042123,unknown
1042156,unknown
1042163,unknown
1042209,unknown
1042326,Allpaths
1042375,GS
1042376,GS
1042377,GS
1042378,GS
1042399,Newbler
1042400,Newbler
1042402,Newbler
1042403,unknown
1042417,unknown
104263,unknown
104268,unknown
104268,SOAPdenovo
104270,CLC
1042804,Newbler
1042804,manual
1042873,ABySS
1042874,ABySS
1042875,ABySS
1042876,unknown
1042877,unknown
1042878,unknown
1043004,Allpaths-LG
1043005,AllPaths-LG
1043184,unknown
1043205,SOAPdenovo
1043206,Newbler
104336,unknown
104336,SPAdes
1043493,unknown
1043493,Newbler
104388,unknown
104421,SOAPdenovo
1044999,Newbler
10449,unknown
1044,Velvet
1045004,MIRA
1045004,Unknown
1045009,Newbler
1045010,unknown
1045010,SMRT
1045012,Allpaths
1045012,Phrap
1045012,Velvet
10454,unknown
10455,unknown
1045773,unknown
1045778,unknown
1045808,unknown
104580,unknown
104581,unknown
1045854,unknown
1045855,unknown
1045856,unknown
1045857,Celera
1045858,unknown
104605,MIRA
104623,Newbler
1046251,unknown
104628,Velvet
1046402,unknown
1046403,unknown
10464,unknown
1046571,unknown
1046572,unknown
1046573,unknown
1046581,Newbler
1046596,Newbler
1046596,SOAPdenovo
1046596,Velvet
1046599,Newbler
1046624,unknown
1046625,SOAPdenovo
1046627,Newbler
104664,unknown
1046714,CLC
1046724,Allpaths
1046724,Velvet
104688,Ray
1048205,CLC
1048207,unknown
1048208,MIRA
1048245,unknown
1048254,ALLPATHS-LG
1048254,unknown
1048256,ALLPATHS-LG
1048260,unknown
1048261,unknown
1048264,Newbler
1048265,ALLPATHS-LG
1048266,ALLPATHS-LG
1048332,unknown
1048334,ALLPATHS-LG
1048339,Allpaths
1048339,Phrap
1048339,Velvet
1048380,Newbler
1048434,unknown
10484,unknown
1048668,unknown
1048680,Allpaths
1048680,Velvet
1048689,unknown
1048808,Newbler
1048830,Newbler
1048834,unknown
1048854,unknown
1048983,CLC
1048,SOAPdenovo
1049283,unknown
10493,unknown
1049564,Newbler
1049565,unknown
1049581,Velvet
1049583,unknown
1049584,unknown
1049584,Velvet
1049759,Celera
1049762,Celera
1049765,CLC
1049766,Celera
1049767,Celera
1049773,CLC
1049776,Celera
1049780,Celera
1049781,Celera
1049782,Celera
1049786,Celera
1049789,Celera
1049790,Celera
1049795,Celera
10497,unknown
1049801,CLC
1049802,CLC
1049803,CLC
1049804,Celera
1049805,CLC
1049807,CLC
1049814,CLC
1049815,CLC
1049819,Celera
1049820,CLC
1049821,CLC
1049902,Celera
1049903,Celera
1049904,Celera
1049905,Celera
1049906,Celera
1049907,CLC
1049908,CLC
1049909,CLC
1049911,CLC
1049912,CLC
1049913,CLC
1049920,Celera
1049921,CLC
1049922,Celera
1049923,Celera
1049924,Celera
1049925,Celera
1049926,CLC
1049927,Celera
1049929,Celera
1049930,Celera
1049931,Celera
1049932,Celera
1049934,Celera
1049935,Celera
1049936,Celera
1049937,Celera
1049938,Celera
1049939,Celera
1049940,Celera
1049941,Celera
1049942,Celera
1049943,CLC
1049944,CLC
1049945,Celera
1049946,Celera
1049947,CLC
1049961,CLC
1049962,CLC
1049964,Celera
1049966,Celera
1049968,Celera
1049969,CLC
1049970,Celera
1049971,Celera
1049972,Celera
1049973,Celera
1049974,Celera
1049976,Celera
1049977,Celera
1049978,Celera
1049979,Celera
1049980,Celera
1049981,unknown
1049982,Celera
1049983,Celera
1049984,Celera
1049985,Celera
1049986,Celera
1050107,CLC
1050107,unknown
1050174,unknown
1050190,SPAdes
1050193,SPAdes
1050198,Allpaths
1050198,Phrap
1050198,Velvet
1050199,Allpaths
1050199,Phrap
1050199,Velvet
1050201,Allpaths
1050201,Phrap
1050201,Velvet
1050202,Allpaths
1050202,Phrap
1050202,Velvet
1050219,CLC
1050219,unknown
1050220,CLC
1050221,CLC
1050221,unknown
1050222,SOAPdenovo
105023,unknown
1050347,Allpaths
1050407,unknown
1050617,Newbler
10506,unknown
1050720,Newbler
1050903,unknown
1051003,Newbler
1051004,Newbler
1051005,Newbler
1051006,Celera
1051055,Allpaths
1051056,Allpaths
1051057,Allpaths
1051058,Allpaths
1051059,Allpaths
1051060,Allpaths
1051061,Allpaths
1051062,Allpaths
1051072,unknown
1051074,unknown
10510,unknown
1051138,unknown
1051140,unknown
10512,unknown
1051346,Celera
1051347,Celera
1051348,Celera
1051349,Celera
1051350,Celera
1051351,Celera
1051352,Celera
1051353,Celera
1051362,Velvet
10514,unknown
1051501,CLC
1051501,Celera
1051502,Celera
1051503,Celera
105154,unknown
10515,unknown
1051629,CLC
1051631,unknown
1051645,Newbler
1051646,unknown
1051646,Newbler
1051649,Newbler
1051650,Allpaths
1051650,unknown
1051651,SeqMan
1051653,Allpaths
1051653,SeqMan
1051654,SeqMan
1051655,SeqMan
1051656,SeqMan
1051657,SeqMan
1051658,SeqMan
1051659,SeqMan
1051660,SeqMan
1051661,Allpaths
1051661,SeqMan
1051661,Velvet
1051662,Velvet
1051673,unknown
1051675,unknown
1051676,unknown
1051792,unknown
1051966,unknown
1051972,CLC
1051973,unknown
1051973,Velvet
1051974,unknown
1051981,Newbler
1051985,CLC
10519,unknown
1052004,unknown
1052095,unknown
1052121,unknown
105219,CLC
105219,unknown
10522,unknown
1052585,unknown
1052588,unknown
1052671,unknown
1052673,unknown
1052677,Newbler
1052680,CLC
1052681,CLC
1052682,CLC
1052684,unknown
1053166,Allpaths
