name,taxid
Olegusella,1979843
Enorma,1472762
Senegalimassilia,1473205
Coriobacterium,33870
Eggerthellales,1643822
Eggerthellaceae,1643826
Gordonibacter,644652
Eggerthella,84111
Phoenicibacter,1981050
Enterorhabdus,580024
Arabia,2005386
Adlercreutzia,447020
Slackia,84108
Cryptobacterium,84162
Denitrobacterium,79603
Acidimicrobiia,84992
Acidimicrobiales,84993
Acidimicrobiaceae,84994
Ilumatobacter,682522
Acidithrix,1609233
Acidimicrobium,53634
Ferrimicrobium,121038
Ferrithrix,643949
Microthrixaceae,1798913
Candidatus Microthrix,41949
Rubrobacteria,84995
Rubrobacterales,84996
Rubrobacteraceae,84997
Rubrobacter,42255
Thermoleophilia,1497346
Solirubrobacterales,588673
Patulibacteraceae,361606
Patulibacter,361607
Conexibacteraceae,320583
Conexibacter,191494
Solirubrobacteraceae,320599
Solirubrobacter,207599
Nitriliruptoria,908620
Nitriliruptorales,596497
Nitriliruptoraceae,596498
Nitriliruptor,596499
Tenericutes,544448
Mollicutes,31969
Mycoplasmatales,2085
Mycoplasmataceae,2092
Mycoplasma,2093
Ureaplasma,2129
Acholeplasmatales,186329
Acholeplasmataceae,2146
Candidatus Phytoplasma,33926
Acholeplasma,2147
Entomoplasmatales,186328
Spiroplasmataceae,2131
Spiroplasma,2132
Entomoplasmataceae,33925
Mesoplasma,46239
Entomoplasma,46238
Candidatus Izimaplasma,1912503
Firmicutes,1239
Bacilli,91061
Bacillales,1385
Alicyclobacillaceae,186823
Alicyclobacillus,29330
Effusibacillus,1502725
Kyrpidia,1129704
Tumebacillus,432330
Bacillaceae,186817
Bacillus,1386
Anaerobacillus,704093
Marinococcus,1370
Lysinibacillus,400634
Geobacillus,129337
Parageobacillus,1906945
Amphibacillus,29331
Virgibacillus,84406
Hydrogenibacillus,1609627
Pontibacillus,289201
Anoxybacillus,150247
Aeribacillus,1055323
Halobacillus,45667
Psychrobacillus,1221880
Domibacillus,1433999
Ornithinibacillus,484508
Oceanobacillus,182709
Alkalibacillus,331654
Salsuginibacillus,427077
Fictibacillus,1329200
Thalassobacillus,331971
Halolactibacillus,306539
Edaphobacillus,1881091
Vulcanibacillus,551771
Lentibacillus,175304
Caldalkalibacillus,379065
Paucisalibacillus,351094
Caldibacillus,1276290
Gracilibacillus,74385
Salimicrobium,351195
Tepidibacillus,1494427
Rubeoparvulum,1935206
Massilibacterium,1923871
Terribacillus,459532
Paraliobacillus,200903
Halalkalibacillus,392825
Aquibacillus,1647190
Numidum,1924101
Sediminibacillus,482460
Calditerricola,373053
Planococcaceae,186818
Bhargavaea,941338
Viridibacillus,496496
Planococcus,1372
Sporosarcina,1569
Kurthia,1649
Jeotgalibacillus,157226
Planomicrobium,162291
Solibacillus,648800
Paenisporosarcina,651660
Ureibacillus,160795
Caryophanon,33976
Rummeliibacillus,648802
Staphylococcaceae,90964
Staphylococcus,1279
Nosocomiicoccus,489909
Salinicoccus,45669
Auricoccucs,2005363
Jeotgalicoccus,227979
Macrococcus,69965
Gemella,1378
Exiguobacterium,33986
Bacillales Family X. Incertae Sedis,539003
Thermicanus,94008
Paenibacillaceae,186822
Aneurinibacillus,55079
Brevibacillus,55080
Paenibacillus,44249
Cohnella,329857
Saccharibacillus,456492
Thermobacillus,76632
Gorillibacterium,1689250
Listeriaceae,186820
Listeria,1637
Brochothrix,2755
Thermoactinomycetaceae,186824
Thermoactinomyces,2023
Shimazuella,471798
Risungbinella,1763555
Novibacillus,1677050
Seinonella,292637
Kroppenstedtia,1274351
Desmospora,500614
Sporolactobacillaceae,186821
Sporolactobacillus,2077
Caenibacillus,1940395
Tuberibacillus,340096
Acidibacillus,1765682
Desulfuribacillus,1543703
Lactobacillales,186826
Streptococcaceae,1300
Streptococcus,1301
Lactococcus,1357
Anthococcus,1930830
Aerococcaceae,186827
Aerococcus,1375
Globicatella,13075
Facklamia,66831
Abiotrophia,46123
Eremococcus,171412
Enterococcaceae,81852
Enterococcus,1350
Pilibacter,337670
Vagococcus,2737
Melissococcus,33969
Bavariicoccus,697279
Tetragenococcus,51668
Catellicoccus,300418
Lactobacillaceae,33958
Lactobacillus,1578
Pediococcus,1253
Sharpea,519427
Leuconostocaceae,81850
Leuconostoc,1243
Oenococcus,46254
Weissella,46255
Fructobacillus,559173
Carnobacteriaceae,186828
Alloiococcus,1651
Carnobacterium,2747
Atopobacter,136491
Granulicatella,117563
Atopococcus,269773
Trichococcus,82802
Jeotgalibaca,1470540
Dolosigranulum,29393
Atopostipes,292480
Allofustis,192987
Alkalibacterium,99906
Marinilactibacillus,191769
Lacticigenium,633405
Clostridia,186801
Clostridiales,186802
Lachnospiraceae,186803
Lachnoclostridium,1506553
Butyrivibrio,830
Roseburia,841
Dorea,189330
Oribacterium,265975
Niameybacter,1973274
Anaerocolumna,1843210
Lachnobacterium,140625
Stomatobaculum,1213720
Anaerostipes,207244
Blautia,572511
Pseudobutyrivibrio,46205
Coprococcus,33042
Shuttleworthia,177971
Lachnoanaerobaculum,1164882
Anaerosporobacter,653683
Johnsonella,43994
Faecalicatena,2005359
Lachnospira,28050
Robinsoniella,588605
Tyzzerella,1506577
Cellulosilyticum,698776
Hespellia,241189
Marvinbryantia,248744
Bariatricus,1924081
Catonella,43996
Sellimonas,1769710
Parasporobacterium,115543
Fusicatenibacter,1407607
Eisenbergiella,1432051
Ruminococcaceae,541000
Faecalibacterium,216851
Ruminococcus,1263
Ruminiclostridium,1508657
Pseudobacteroides,1486726
Phocea,1926663
Ethanoligenens,253238
Subdoligranulum,292632
Negativibacillus,1980693
Sporobacter,44748
Anaerotruncus,244127
Bittarella,1929297
Massilimaliae,1987010
Provencibacterium,1987016
Acetivibrio,35829
Candidatus Soleaferrea,1470353
Angelakisella,1935176
Mageeibacillus,1637257
Anaerofilum,52784
Drancourtella,1903506
Ruthenibacterium,1905344
Neglecta,1924105
Gemmiger,204475
Papillibacter,100175
Fournierella,1940255
Anaeromassilibacillus,1924093
Syntrophomonadaceae,68298
Syntrophomonas,862
Dethiobacter,427925
Thermosyntropha,54293
Syntrophothermus,129001
Peptostreptococcaceae,186804
Clostridioides,1870884
Peptostreptococcus,1257
Paraclostridium,1849822
Paeniclostridium,1849828
Acetoanaerobium,186831
Peptoclostridium,1481960
Peptoanaerobacter,1913599
Filifactor,44259
Asaccharospora,1505660
Criibacterium,1937664
Terrisporobacter,1505652
Proteocatella,181069
Intestinibacter,1505657
Romboutsia,1501226
Tepidibacter,214904
Clostridiaceae,31979
Clostridium,1485
Proteiniclasticum,1155385
Candidatus Arthromitus,49082
Lutispora,667112
Caloranaerobacter,171003
Beduini,1922299
Clostridiisalibacter,516086
Thermobrachium,150333
Hungatella,1649459
Butyricicoccus,580596
Lactonifactor,420345
Hathewaya,1769729
Alkaliphilus,114627
