419665,N/A
419942,N/A
420247,N/A
425944,N/A
426118,N/A
426368,N/A
427317,N/A
427318,N/A
429572,N/A
43687,N/A
43928,N/A
439386,N/A
439481,N/A
444158,N/A
44930,N/A
453591,N/A
456320,N/A
456442,N/A
469382,A5
469382,N/A
47311,SPAdes
478009,N/A
483214,N/A
485914,N/A
488124,SPAdes
490899,N/A
49547,SPAdes
507754,SPAdes
519442,N/A
521002,N/A
521011,N/A
523841,A5
523841,N/A
523843,CLC
523843,N/A
523844,N/A
523845,ALLPATHS
523845,Velvet
523846,N/A
523847,Newbler
523849,N/A
523850,N/A
528314,SPAdes
529709,N/A
53952,N/A
54262,N/A
543526,N/A
547558,N/A
547559,A5
547559,N/A
553468,N/A
555311,N/A
55758,SPAdes
55802,N/A
565033,N/A
572478,N/A
572546,N/A
573063,N/A
573064,N/A
579137,N/A
582419,N/A
588319,Unknown
588898,N/A
589924,N/A
591019,N/A
593117,N/A
593750,N/A
604354,N/A
62320,GS
633148,N/A
634497,N/A
634498,N/A
64091,N/A
644281,N/A
644295,N/A
647113,N/A
647171,Newbler
662475,A5
662476,A5
662477,A5
662478,A5
662479,A5
662480,A5
666510,N/A
66851,SPAdes
671065,Newbler
673860,N/A
675631,ALLPATHS
679901,N/A
679926,N/A
69014,N/A
693661,N/A
694429,N/A
694430,N/A
694440,Unknown
697581,N/A
699431,Celera
699431,N/A
70601,N/A
74969,N/A
751944,N/A
756883,N/A
765177,N/A
768065,N/A
768672,N/A
768679,N/A
795797,A5
795797,ALLPATHS
795797,N/A
796385,N/A
797114,A5
797209,ALLPATHS
797209,N/A
797209,Newbler
797209,Phrap
797209,Velvet
797210,N/A
797299,N/A
797303,A5
797303,N/A
797304,A5
797304,N/A
79929,N/A
83986,N/A
859192,Newbler
859350,Newbler
86622,N/A
866790,N/A
867904,N/A
867917,CLC
868131,N/A
877455,N/A
880724,N/A
882090,Newbler
911116,AMOS
911116,Newbler
911116,Velvet
911117,AMOS
911117,Newbler
911117,Velvet
911118,AMOS
911118,Newbler
911118,Velvet
911119,AMOS
911119,Newbler
911119,Velvet
911121,AMOS
911121,Newbler
911121,Velvet
911122,AMOS
911122,Newbler
911122,Velvet
911123,AMOS
911123,Newbler
911123,Velvet
911124,AMOS
911124,Newbler
911124,Velvet
911125,AMOS
911125,Newbler
911125,Velvet
911126,AMOS
911126,Newbler
911126,Velvet
911127,AMOS
911127,Newbler
911127,Velvet
911128,AMOS
911128,Newbler
911128,Velvet
911129,AMOS
911129,Newbler
911129,Velvet
911130,AMOS
911130,Newbler
911130,Velvet
911131,AMOS
911131,Newbler
911131,Velvet
911132,AMOS
911132,Newbler
911132,Velvet
911133,AMOS
911133,Newbler
911133,Velvet
911134,AMOS
911134,Newbler
911134,Velvet
911135,AMOS
911135,Newbler
911135,Velvet
913025,ALLPATHS
926571,N/A
926690,ALLPATHS
926690,Phrap
926690,Velvet
930943,N/A
930945,N/A
931277,A5
933801,N/A
937775,Newbler
940295,N/A
985053,N/A
990316,N/A
999630,N/A
